date,cash,stock_value,total_value
2025-10-08 13:00:00,216.00000000000006,10181.0527,10397.0527
2025-10-08 14:00:00,216.00000000000006,10167.921699999999,10383.921699999999
2025-10-08 15:00:00,216.00000000000006,10209.349999999999,10425.349999999999
2025-10-09 10:00:00,216.00000000000006,10186.93,10402.93
2025-10-09 11:00:00,216.00000000000006,10201.2308,10417.2308
2025-10-09 12:00:00,216.00000000000006,10157.699999999999,10373.699999999999
2025-10-09 13:00:00,216.00000000000006,10175.8732,10391.8732
2025-10-09 14:00:00,216.00000000000006,10184.5472,10400.5472
2025-10-09 15:00:00,216.00000000000006,10217.699999999999,10433.699999999999
2025-10-10 10:00:00,22.49500000000006,10374.744400000001,10397.239400000002
2025-10-10 11:00:00,22.49500000000006,10208.127,10230.622000000001
2025-10-10 12:00:00,22.49500000000006,10117.1316,10139.626600000001
2025-10-10 13:00:00,22.49500000000006,10139.058500000001,10161.553500000002
2025-10-10 14:00:00,22.49500000000006,10112.019999999999,10134.515
2025-10-10 15:00:00,746.7850000000001,9286.720000000001,10033.505000000001
2025-10-10 15:00:00,1229.645,8813.54,10043.185000000001
2025-10-10 15:00:00,1185.43,8857.400000000001,10042.830000000002
2025-10-10 15:00:00,24.40000000000009,9956.12,9980.52
2025-10-10 15:00:00,990.1200000000001,9009.760000000002,9999.880000000003
2025-10-10 15:00:00,644.7300000000001,9334.230000000001,9978.960000000001
2025-10-10 15:00:00,458.79000000000013,9504.95,9963.740000000002
2025-10-10 15:00:00,226.02000000000012,9719.560000000001,9945.580000000002
2025-10-10 15:00:00,61.20000000000013,9873.080000000002,9934.280000000002
2025-10-13 10:00:00,105.06000000000013,10066.945,10172.005
2025-10-13 11:00:00,105.06000000000013,10134.251800000002,10239.311800000001
2025-10-13 12:00:00,105.06000000000013,10158.955,10264.015
2025-10-13 13:00:00,105.06000000000013,10131.481599999997,10236.541599999997
2025-10-13 14:00:00,105.06000000000013,10106.3851,10211.445099999999
2025-10-13 15:00:00,105.06000000000013,10127.169999999998,10232.229999999998
2025-10-14 10:00:00,3430.92,6633.575400000001,10064.4954
2025-10-14 11:00:00,3430.92,6668.8846,10099.8046
2025-10-14 12:00:00,3430.92,6707.408599999999,10138.328599999999
2025-10-14 13:00:00,3430.92,6692.6664,10123.5864
2025-10-14 14:00:00,3430.92,6697.810699999999,10128.7307
